state,esophageal,income,poverty,male.lung,female.lung,uninsured,unemployed,lang.isolation
Alabama,4.6,44758,14,89,51.6,13.8,8.3,1.2
Alaska,5.4,74444,7,65.3,50.1,17.5,7.8,2.2
Arizona,4.3,51340,12.9,54.7,45,13.6,8,4.5
Arkansas,4.5,42336,13.8,98.7,61.6,11.6,6.9,1.6
California,3.6,63783,11.8,49.2,39,10.5,8.7,9.4
Colorado,4.2,62520,8.1,46.9,40.7,10.2,6,3
Connecticut,4.8,71755,7.3,67.9,56.2,6.8,8,5.2
Delaware,5.1,61017,8.2,82.7,62.8,7.9,7.1,2.4
District of Columbia,4.6,72935,14.1,60.7,48.1,4.5,8.7,3.6
Florida,4.5,48900,11.7,69.3,51.9,18.5,8.4,6.8
Georgia,4.4,51037,13.6,82.9,51.7,18.1,8.5,3
Hawaii,3.4,71977,7.3,56.8,37.6,4.9,5.5,6.4
Idaho,4.6,49174,10.7,56.2,46.5,15,6.2,2
Illinois,5.1,59196,10.2,77.8,57.5,9.3,8.2,4.7
Indiana,5.5,50433,10.7,88.1,61.4,10.9,6.9,1.8
Iowa,5.6,54570,7.9,77.1,53.4,5.9,4.5,1.6
Kansas,4.4,53571,8.8,71.6,52.9,12.2,5.3,2.4
Kentucky,4.9,44811,14.3,112.8,79,7.1,7.6,1.2
Louisiana,4.7,45652,15.1,87.6,54.4,15.3,7.7,1.8
Maine,6.6,50826,8.9,82.5,64.8,11.9,6,1.1
Maryland,4.3,76067,6.8,65.2,51.8,8.4,6.7,3.1
Massachusetts,5.5,70954,8,69.3,60.2,3.7,6.8,5.7
Michigan,5.3,50803,11.5,75.2,58.5,7.6,8.5,1.8
Minnesota,4.8,63217,6.9,61.6,50.5,5.4,4.8,2.4
Mississippi,4.6,40528,17.4,99.8,56.3,17.8,9.6,0.8
Missouri,5,49593,10.8,87.9,63.9,12.7,6.6,1.1
Montana,5.1,48380,9.6,58.6,53.7,11.9,5.6,0.5
Nebraska,4.8,54384,8.4,70.6,50.1,11.7,4.2,2.7
Nevada,NA,53094,11,NA,NA,15.5,9.3,6.3
New Hampshire,6.9,68485,5.3,70.6,62.9,8.7,5.1,1.5
New Jersey,4.4,73702,8.1,64.3,52.6,11.2,7.9,7.1
New Mexico,3.8,45674,15.9,46.1,35.6,13.4,8.5,5.1
New York,4.5,60741,11.7,69.1,54.1,8.7,7.5,8.1
North Carolina,4.3,48256,12.4,86.3,56.5,15.1,8.3,2.5
North Dakota,4.8,59114,6.9,68.4,50.7,7.6,2.8,1
Ohio,5.1,50674,11.2,82.7,59.4,7.8,7.2,1.4
Oklahoma,4.5,48038,12.2,85.7,58.7,19.4,6,2.2
Oregon,4.8,53270,10.5,61.3,52.4,8.9,8.1,2.7
Pennsylvania,5.2,54895,9.1,76.5,56.3,7.6,7.2,2.4
Rhode Island,4.9,58387,9.8,78.2,64.2,6.1,7.7,5.3
South Carolina,4.7,46898,12.8,84.4,53.5,15.1,8.4,1.5
South Dakota,4.3,52078,8.9,67.4,51.7,12.6,4.1,1.3
Tennessee,4.7,46574,12.9,94.3,61.7,13.4,7.5,1.5
Texas,3.9,54727,13,65.5,43.5,22.3,6.4,7.9
Utah,3.2,62518,8.4,32.3,23.7,11.6,5.1,2.5
Vermont,6,56104,7.5,69.9,58.3,5.7,5,0.7
Virginia,4.3,66149,8.1,69.8,50.6,11.8,5.9,2.6
Washington,4.9,62848,8.4,62.8,52.1,8.4,6.8,3.9
West Virginia,5.4,42644,12.9,98.4,66.2,8,7.5,0.3
Wisconsin,5.2,54610,8.5,68,54.1,7.2,5.5,1.6
Wyoming,4.5,59143,7.6,46.6,43.3,15.4,4.9,1.2
